country_code,region_name,iata,icao,airport,latitude,longitude
AE,Abu Zaby,AAN,OMAL,Al Ain International Airport,24.2617,55.6092
AE,Abu Zaby,AUH,OMAA,Abu Dhabi International Airport,24.433,54.6511
AE,Abu Zaby,AYM,,Yas Island Seaplane Base,24.467,54.6103
AE,Abu Zaby,AZI,OMAD,Al Bateen Executive Airport,24.4283,54.4581
AE,Abu Zaby,DHF,OMAM,Al Dhafra Air Base,24.2482,54.5477
AE,Abu Zaby,XSB,OMBY,Sir Bani Yas Airport,24.2836,52.5803
AE,Abu Zaby,ZDY,OMDL,Dalma Airport,24.51,52.3352
AE,Al Fujayrah,FJR,OMFJ,Fujairah International Airport,25.1122,56.324
AE,Ash Shariqah,SHJ,OMSJ,Sharjah International Airport,25.3286,55.5172
AE,Dubayy,DCG,,Dubai Creek Seaplane Base,25.2422,55.3314
AE,Dubayy,DJH,,Jebel Ali Seaplane Base,24.989,55.0238
AE,Dubayy,DWC,OMDW,Al Maktoum International Airport,24.8964,55.1614
AE,Dubayy,DXB,OMDB,Dubai International Airport,25.2528,55.3644
AE,Dubayy,NHD,OMDM,Al Minhad Air Base,25.0268,55.3662
AE,Ra's al Khaymah,RHR,,Al Hamra Seaplane Base,25.691,55.778
AE,Ra's al Khaymah,RKT,OMRK,Ras Al Khaimah International Airport,25.6135,55.9388
AF,Badakhshan,DAZ,OADZ,Darwaz Airport,38.4611,70.8825
AF,Badakhshan,FBD,OAFZ,Fayzabad Airport,37.1211,70.5181
AF,Badakhshan,KUR,OARZ,Razer Airport,37.752,-89.0154
AF,Badakhshan,KWH,OAHN,Khwahan Airport,37.883,70.217
